"Seed_Point_ID","FID","area","count","EA_ID","Ph","SSC","Ca","Mg","NH4","NO3","NO2","TON","PO4","Zn","average_elevation","average_rainfall","average_slope","average_aspect","Arable","Heath","Grassland","Urban","Wetland","Permeable","Impermeable","Gleyed","Peats","Sands_and_Muds","Limestone","Coal","Arable_percent","Heath_percent","Grassland_percent","Urban_percent","Wetland_percent","Permeable_percent","Impermeable_percent","Gleyed_percent","Peats_percent","Sands_and_Muds_percent","Limestone_percent","Coal_percent"
1,54,3.96144668033594,1587,1940214,7.79,21.37,60.82,11.12,0.24,2.64,0.08,2.73,0.34,50,215.134389413989,539.877756773787,4.81932444134996,93.8918400284885,379,0,340,785,0,0,0,1030,557,1414,0,0,23.8815374921235,0,21.4240705734089,49.4643982356648,0,0,0,64.9023314429742,35.0976685570258,89.0989287964713,0,0
2,42,10.2618193464778,4111,1941025,7.79,33.52,75.45,17.52,4.46,3.24,0.11,3.35,0.99,20.51,399.554234492824,581.183167112625,11.6391102065261,206.232635440254,1832,0,984,861,0,271,0,3463,377,4111,0,0,44.5633665774751,0,23.9357820481635,20.943809292143,0,6.59207005594746,0,84.2374118219411,9.17051812211141,100,0,0
3,40,3.66190439826876,1467,1941017,8.55,11.69,58.54,20.5,0.25,0.83,0.02,0.84,0.07,35.23,667.500564417178,591.354464894342,17.847257842133,196.526750857754,42,0,491,524,0,292,0,1175,0,1467,0,0,2.86298568507157,0,33.4696659850034,35.7191547375596,0,19.9045671438309,0,80.0954328561691,0,100,0,0
4,47,1.21314624237114,486,1941007,7.71,34.06,96.83,46.33,0.24,3.65,0.07,3.73,0.21,74.26,448.204193415638,549.012345679012,5.04709234712573,139.091000520929,177,0,49,249,0,0,0,486,0,486,0,0,36.4197530864198,0,10.082304526749,51.2345679012346,0,0,0,100,0,100,0,0
5,45,0.741367148115642,297,1941002,8.08,70.81,141.98,85.85,0.4,4.47,0.05,4.52,0.14,20.16,437.275518518519,557.175084175084,15.5461162748896,120.980286688099,185,0,55,57,0,0,0,297,0,297,0,0,62.2895622895623,0,18.5185185185185,19.1919191919192,0,0,0,100,0,100,0,0
6,44,1.40285635434692,562,1941003,8.12,34,174.49,86.27,0.21,2.69,0.06,2.75,0.15,18.27,498.980487544484,562.903914590747,10.3827289462243,118.309996772898,154,0,61,246,0,0,0,562,0,562,0,0,27.4021352313167,0,10.8540925266904,43.7722419928826,0,0,0,100,0,100,0,0
7,41,4.67036341456134,1871,1940998,7.89,28.11,89.34,26.38,1.74,4.82,0.15,4.97,0.42,22.21,309.072703901657,536.010154997328,6.09558267598114,108.687317117818,631,0,571,417,0,0,0,1842,29,1871,0,0,33.7252805986104,0,30.5184393372528,22.2875467664351,0,0,0,98.4500267236772,1.54997327632282,100,0,0
8,32,31.8613140691947,12764,1940995,7.85,19.18,84.7,31.2,0.33,2.26,0.07,2.33,0.11,30.45,497.435984644312,594.201034158571,11.091929440877,157.137956648672,3491,49,2924,4954,0,3739,0,8988,37,11347,0,1417,27.3503603885929,0.38389219680351,22.9081792541523,38.8122845502977,0,29.2933249764964,0,70.4167972422438,0.289877781259793,88.8984644312128,0,11.1015355687872
9,38,19.0533853251424,7633,1940967,7.66,21.17,61.55,9.6,0.12,1.72,0.03,1.75,0.08,13.01,233.600405214201,556.190881697891,4.83713277096238,189.876543185826,2641,28,2235,2049,0,618,0,3208,3807,7633,0,0,34.599764181842,0.366828245774925,29.2807546181056,26.8439669854579,0,8.0964234246037,0,42.0280361587842,49.8755404166121,100,0,0
10,51,13.2647307241994,5314,1940958,7.9,14.55,90.38,17.58,0.3,5.6,0.09,5.69,0.31,14.5,566.089633044787,584.99435453519,9.24517777606855,190.467923123288,1285,0,1921,1110,0,499,0,4717,98,5314,0,0,24.1814076025593,0,36.1497929996236,20.8882197967633,0,9.39028980052691,0,88.7655250282273,1.84418517124577,100,0,0
11,36,6.04576172638506,2422,1940888,7.61,30.65,56.71,13.5,0.57,2.26,0.07,2.3,0.6,18.64,270.523848059455,606.503303055326,5.21180288612079,103.780494843489,967,0,727,627,0,0,0,1934,488,2422,0,0,39.925681255161,0,30.0165152766309,25.88769611891,0,0,0,79.851362510322,20.148637489678,100,0,0
12,34,5.06476075261578,2029,1940887,7.68,58.2,83.75,17.76,0.29,3.03,0.07,3.1,0.34,12.54,264.197070478068,615.339083292262,6.34023198755427,109.785406759218,751,3,905,210,0,0,0,1850,179,2029,0,0,37.0133070478068,0.147856086742238,44.6032528339083,10.3499260719566,0,0,0,91.1779201577132,8.82207984228684,100,0,0
13,24,5.0597683812482,2027,1940885,7.42,17.36,53.09,15.87,0.21,1.9,0.03,1.94,0.15,21.55,1109.8417972373,858.848544647262,19.1040439107432,198.019320561975,232,0,1092,594,0,0,0,2027,0,234,0,1793,11.4454859398125,0,53.8727183029107,29.3043907252097,0,0,0,100,0,11.5441539220523,0,88.4558460779477
14,26,9.95229232167475,3987,1940884,7.27,50.55,136.69,71.25,1.25,1.43,0.04,1.46,0.14,35,902.49753774768,820.136192626035,16.9788720564335,190.505464582005,582,0,2157,1084,0,0,0,3987,0,1592,0,2395,14.5974416854778,0,54.1008276899925,27.1883621770755,0,0,0,100,0,39.9297717582142,0,60.0702282417858
15,30,9.02371124726826,3615,1940883,7,20.06,92.74,32.99,0.72,2.46,0.04,2.5,0.09,33.93,348.827355739972,675.026002766252,7.14159203968634,201.089114472211,334,81,868,1372,321,0,697,1225,1693,3609,0,6,9.23928077455049,2.24066390041494,24.0110650069156,37.9529737206086,8.87966804979253,0,19.2807745504841,33.8865836791148,46.8326417704011,99.8340248962656,0,0.16597510373444
16,28,5.77367748684081,2313,1940880,7.6,21.57,54.22,10.99,0.89,1.63,0.07,1.71,0.24,17.54,418.736958063122,707.298746217034,10.8551667763682,193.038136814025,434,56,553,1062,0,0,604,1259,450,2169,0,144,18.7635105923044,2.4210981409425,23.9083441418072,45.9143968871595,0,0,26.1132728058798,54.4314742758323,19.4552529182879,93.7743190661479,0,6.22568093385214
17,48,10.9283009240781,4378,1940628,7.77,10.07,59.76,12.21,0.52,9.46,0.17,9.64,1.14,49.4,593.219312014619,635.833257195066,7.82739140357708,158.521084745563,99,19,1124,2593,0,0,0,3218,1160,4378,0,0,2.26130653266332,0.433988122430333,25.6738236637734,59.2279579716766,0,0,0,73.5038830516217,26.4961169483783,100,0,0
18,43,9.49549034152304,3804,1940541,7.62,16.83,34.72,10.88,0.1,1.21,0.03,1.23,0.06,6.02,2694.6017542061,1003.78049421661,47.1120727227664,193.479904207772,103,160,3288,50,0,1783,0,2021,0,1651,0,2153,2.70767613038906,4.20609884332282,86.4353312302839,1.31440588853838,0,46.8717139852787,0,53.1282860147213,0,43.4016824395373,0,56.5983175604627
19,46,16.24767261645,6509,1940544,7.4,5.8,8.74,4.15,0.04,0.9,0.01,0.9,0.03,6.91,4325.31801643878,1130.13903825472,58.1756672314311,225.171935591609,6,1041,3988,16,711,3365,0,0,3144,6509,0,0,0.0921800583807036,15.9932401290521,61.269012137041,0.24581348901521,10.9233369181134,51.6976494085113,0,0,48.3023505914887,100,0,0
20,53,37.5076860861543,15026,1940537,8.12,20.31,36.79,6.94,0.19,3.14,0.05,3.19,0.42,13.97,3189.30536975908,965.275588979103,48.5458884211008,199.50202216888,58,1230,10843,1107,283,10188,327,3196,1315,9544,5482,0,0.385997604152802,8.18581126048183,72.1615865832557,7.36723013443365,1.88340210302143,67.8024757087715,2.17622787168907,21.2697990150406,8.75149740449887,63.5165712764542,36.4834287235458,0
21,62,17.1238337914951,6860,1940516,7.73,20.01,28.99,7.07,0.08,1.93,0.02,1.95,0.07,6.07,3051.84096034985,1057.79096209913,46.4886568639489,191.680256980579,116,1316,4266,364,41,3103,853,532,2372,6675,0,24,1.69096209912536,19.1836734693878,62.1865889212828,5.30612244897959,0.597667638483965,45.2332361516035,12.4344023323615,7.75510204081633,34.5772594752187,97.3032069970845,0,0.349854227405248
22,64,28.7485705213842,11517,1940514,7.39,15.52,12.79,5.34,0.04,1.31,0.01,1.32,0.04,8.63,3735.01193409742,1311.2672570982,52.7720571295209,174.484056431242,25,3413,5129,82,334,4433,0,246,6838,5298,1802,2946,0.217070417643484,29.6344534166884,44.5341668837371,0.711990969870626,2.90006077971694,38.4909264565425,0,2.13597290961188,59.3731006338456,46.001562907007,15.6464357037423,25.5795780151081
23,27,68.0060827719388,27244,1940495,6.75,6.44,5.23,2.71,0.07,0.7,0.01,0.7,0.03,25.13,4169.69743029658,1076.73682278667,49.5641798376863,195.929672523047,73,7859,7287,184,8759,7253,0,732,19259,27244,0,0,0.267948906181178,28.8467185435325,26.7471736896197,0.675378064895023,32.1501982087799,26.6223755689326,0,2.68683012773455,70.6907943033329,100,0,0
24,39,7.79558789079333,3123,1940501,7.23,28.42,11.17,3.79,0.06,0.97,0.02,0.99,0.07,10.35,3468.33284694204,1173.72238232469,52.0304044602718,229.310803283534,12,757,696,188,1171,985,0,63,2075,3123,0,0,0.384245917387128,24.2395132885046,22.2862632084534,6.01985270573167,37.4959974383606,31.5401857188601,0,2.01729106628242,66.4425232148575,100,0,0
25,37,10.7061403982103,4289,1942440,6.6,8.63,6.11,3.63,0.03,0.67,0.01,0.66,0.03,7.5,4197.61041967825,1220.75029144323,56.9887803051073,224.782928716821,0,192,367,19,3380,1892,0,0,2397,4289,0,0,0,4.4765679645605,8.55677314059221,0.4429937048263,78.8062485427839,44.11284681744,0,0,55.88715318256,100,0,0
26,35,10.5214226576023,4215,1940605,7.9,19.52,56.46,11.65,0.14,1.74,0.04,1.78,0.11,13.14,1575.96118386714,864.218505338078,31.2047937446237,225.75242270262,99,12,1641,1850,0,317,0,3659,239,1698,0,2517,2.34875444839858,0.284697508896797,38.932384341637,43.8908659549229,0,7.52075919335706,0,86.8090154211151,5.67022538552788,40.2846975088968,0,59.7153024911032
27,33,6.49257896380174,2601,1940594,7.31,10.22,20.48,5.26,0.08,0.86,0.01,0.87,0.03,17.63,2983.74054056132,983.920415224914,51.9684600621183,211.821446447202,31,1004,579,166,422,2147,0,6,448,2527,0,74,1.1918492887351,38.6005382545175,22.2606689734717,6.38216070742022,16.2245290272972,82.5451749327182,0,0.230680507497116,17.2241445597847,97.1549404075356,0,2.84505959246444
28,31,6.45014380717611,2584,1940589,7.24,9,10.02,3.82,0.04,0.97,0.01,0.98,0.04,23.09,3343.43274729102,987.578947368421,51.3202471945574,239.08572129111,3,1298,312,274,308,514,0,0,2070,2584,0,0,0.11609907120743,50.2321981424149,12.0743034055728,10.6037151702786,11.9195046439628,19.8916408668731,0,0,80.1083591331269,100,0,0
29,25,27.3706760238683,10965,1940581,7.03,6.27,13.97,3.36,0.06,0.65,0.01,0.65,0.1,11.65,4209.5387747378,1128.03374373005,44.1306579408173,207.942795321588,6,2627,2445,233,3773,1766,0,201,8998,10965,0,0,0.0547195622435021,23.9580483356133,22.2982216142271,2.124943000456,34.4094847241222,16.1057911536708,0,1.83310533515732,82.0611035111719,100,0,0
30,19,19.1607213095558,7676,1940569,7.4,9.4,13.78,4.38,0.05,0.98,0.01,0.99,0.07,10.07,3243.91231500782,964.670270974466,48.6423714353888,196.431481988378,72,157,4737,280,1513,2370,0,82,5224,7576,0,100,0.937988535695675,2.04533611255862,61.7118290776446,3.64773319437207,19.7107868681605,30.8754559666493,0,1.06826472120896,68.0562793121417,98.6972381448671,0,1.30276185513288
31,23,49.1623770442424,19695,1940843,7.86,31.46,63.07,16.96,0.72,3.89,0.14,4.07,1.07,20.86,1588.9209393247,791.519167301346,27.3079926276441,217.480402737938,513,80,5136,9394,0,3504,0,14563,1628,7423,0,12272,2.6047220106626,0.406194465600406,26.0776846915461,47.6973851231277,0,17.7913175932978,0,73.9426250317339,8.26605737496827,37.6897689768977,0,62.3102310231023
32,29,10.8159725683042,4333,1940821,7.81,32.68,112.29,19.73,2.62,2.72,0.21,2.93,0.32,39.2,1002.9350408493,732.693745672744,9.62967885255573,228.122545657602,30,0,388,3169,0,0,0,4333,0,3604,0,729,0.692360950842372,0,8.95453496422802,73.1363951073159,0,0,0,100,0,83.1756288945303,0,16.8243711054697
33,22,59.9908305409622,24033,1940820,7.6,25.01,52.21,9.86,1.91,6.8,0.29,7.05,1.71,59.17,1205.25220371989,792.042774518371,22.7788718667413,205.072891859238,750,8,5669,12886,0,7638,0,16395,0,7740,0,16293,3.1207090250905,0.0332875629342987,23.5883992843174,53.6179419964216,0,31.7813007115217,0,68.2186992884783,0,32.205717138934,0,67.794282861066
34,20,5.47413520477454,2193,1940779,7.86,12.23,61.43,9.51,0.12,1.55,0.04,1.6,0.09,17.6,1355.94401595987,959.888280893753,27.2462319395075,200.545372441406,93,0,1131,762,0,362,0,1831,0,493,0,1700,4.24076607387141,0,51.5731874145007,34.7469220246238,0,16.5070679434565,0,83.4929320565436,0,22.4806201550388,0,77.5193798449613
35,21,27.3057751960908,10939,1940773,7.7,9.69,43.41,6.23,0.2,1.53,0.04,1.56,0.12,14.63,1408.007181278,949.908126885456,23.9814543856745,177.190425587083,741,41,4947,4549,19,513,0,10416,10,0,0,10939,6.77392814699698,0.374805740926959,45.2235122040406,41.5851540360179,0.173690465307615,4.6896425633056,0,95.218941402322,0.0914160343724289,0,0,100
36,7,37.2905179316608,14939,1940759,7.62,7.02,22.93,4.5,0.05,1.31,0.02,1.33,0.05,7.38,2529.07499598367,1073.29901599839,40.3855496148562,175.497643070418,120,607,8545,891,991,2051,0,2271,10217,5766,0,9173,0.803266617578151,4.06319030724948,57.1992770600442,5.96425463551777,6.63364348349957,13.7291652721066,0,15.2018207376665,68.3914585982997,38.5969609746302,0,61.4030390253698
37,12,31.951176753813,12800,1940751,7.66,11.76,24.73,3.89,0.08,1.02,0.02,1.03,0.1,10.7,2577.53586039063,1148.17046875,40.0942624658128,143.040573693049,186,500,5941,1704,1814,1065,0,858,10877,5010,0,7790,1.453125,3.90625,46.4140625,13.3125,14.171875,8.3203125,0,6.703125,84.9765625,39.140625,0,60.859375
38,18,13.6990670331973,5488,1940754,7.78,14.6,34.34,6.62,0.08,1.22,0.02,1.24,0.07,6.95,2450.89234420554,1097.67638483965,38.5386367118715,139.712121488533,183,44,2784,1124,755,262,0,3985,1241,213,0,5275,3.33454810495627,0.801749271137026,50.7288629737609,20.4810495626822,13.7572886297376,4.77405247813411,0,72.6129737609329,22.6129737609329,3.88119533527697,0,96.118804664723
39,17,4.70531001413536,1885,1940689,7.57,12.45,37.41,7.69,0.08,1.87,0.03,1.9,0.06,15.7,1996.97140901857,969.990450928382,37.3533134064154,224.702085171655,174,30,1285,234,0,1600,0,7,278,33,0,1852,9.23076923076923,1.59151193633952,68.1697612732095,12.4137931034483,0,84.8806366047745,0,0.371352785145889,14.7480106100796,1.75066312997347,0,98.2493368700265
40,13,5.12217302334632,2052,1940685,7.7,15.6,27.62,5.24,0.11,1.1,0.02,1.11,0.06,10.87,2740.72877582846,1095.43274853801,44.7639501009393,166.949206040775,7,123,1184,243,88,433,0,1050,569,1364,0,688,0.341130604288499,5.99415204678363,57.6998050682261,11.8421052631579,4.28849902534113,21.1013645224172,0,51.1695906432749,27.729044834308,66.4717348927875,0,33.5282651072125
41,9,7.00928940036761,2808,1940680,7.53,15.27,14.48,4.66,0.1,0.92,0.02,0.93,0.06,13.05,3264.94306623932,1047.83974358974,48.8771660714787,240.657467054308,10,327,1982,176,52,1223,0,263,1322,2799,0,9,0.356125356125356,11.6452991452991,70.5840455840456,6.26780626780627,1.85185185185185,43.5541310541311,0,9.36609686609687,47.0797720797721,99.6794871794872,0,0.32051282051282
42,8,3.42227057261546,1371,1940675,7.42,8.82,11.2,2.64,0.07,1.21,0.01,1.22,0.05,9.51,3073.83078993435,1072.91976659373,50.7704921324105,144.024919776782,2,2,1110,16,111,684,0,477,210,1371,0,0,0.145878920495988,0.145878920495988,80.9628008752735,1.16703136396791,8.09628008752735,49.890590809628,0,34.7921225382932,15.3172866520788,100,0,0
43,6,3.42975912966701,1374,1940674,7.33,7.17,7.97,2.6,0.06,0.81,0.01,0.8,0.04,7.39,3102.38719286754,1008.48617176128,50.3529628276817,133.505545177275,16,49,1230,6,18,743,0,475,156,1374,0,0,1.16448326055313,3.56622998544396,89.5196506550218,0.436681222707424,1.31004366812227,54.075691411936,0,34.570596797671,11.353711790393,100,0,0
44,4,6.40521246486573,2566,1940672,7.58,12.3,28.39,4.84,0.09,1.47,0.02,1.5,0.08,16.42,2695.04891153546,892.933749025721,42.6534103244956,194.470634676966,90,61,1544,669,0,2328,0,35,203,2566,0,0,3.50740452065472,2.37724084177708,60.1714731098987,26.0717069368667,0,90.7248636009353,0,1.36399064692128,7.91114575214341,100,0,0
45,5,4.02634750811687,1613,1940673,7.46,5.13,18.19,5.79,0.05,0.7,0.01,0.69,0.03,9.91,3206.22963236206,912.999380037198,42.7106072065277,147.854516358254,0,90,1008,13,221,371,0,0,1242,1613,0,0,0,5.5796652200868,62.4922504649721,0.805951642901426,13.7011779293242,23.0006199628022,0,0,76.9993800371978,100,0,0
46,1,8.04520645918277,3223,1940666,7.59,14.32,16.1,3.55,0.08,0.68,0.01,0.66,0.05,9.43,3171.75512255662,776.334470989761,41.4706792199521,213.624964590764,18,41,2779,88,0,145,0,0,3078,408,0,2815,0.558485882717965,1.27210673285759,86.2240148929569,2.73037542662116,0,4.49891405522805,0,0,95.5010859447719,12.6590133416072,0,87.3409866583928
47,2,13.3970285654454,5367,1940663,7.92,12.87,34.87,10.46,0.06,0.9,0.01,0.9,0.04,13.01,3218.84832979318,918.942798583939,39.0234264398046,201.406365561944,28,73,4727,223,21,2046,0,21,3300,1484,0,3883,0.521706726290293,1.36016396497112,88.0752748276504,4.15502142724054,0.391280044717719,38.1218557853549,0,0.391280044717719,61.4868641699273,27.6504564933855,0,72.3495435066145
48,3,4.80515744149099,1925,1942528,7.01,16.75,35.46,9.57,0.29,0.94,0.01,0.94,0.04,42.26,3745.60734857143,971.033246753247,42.6329588113803,195.832633413424,16,108,1333,0,221,336,0,357,1232,15,0,1910,0.831168831168831,5.61038961038961,69.2467532467532,0,11.4805194805195,17.4545454545455,0,18.5454545454545,64,0.779220779220779,0,99.2207792207792
49,15,2.94549910699099,1180,1940732,7.45,9.74,22.99,4.28,0.08,2.13,0.01,2.15,0.08,11.3,2493.14842627119,1037.45084745763,39.1714335561822,138.604441769644,10,16,991,36,0,53,0,0,1127,3,0,1177,0.847457627118644,1.35593220338983,83.9830508474576,3.05084745762712,0,4.49152542372881,0,0,95.5084745762712,0.254237288135593,0,99.7457627118644
50,10,5.81611264346801,2330,1940711,7.55,10.35,34.93,7.88,0.07,1.26,0.02,1.27,0.07,25.18,2874.16012360515,994.930472103004,45.5442669136848,184.046781454972,7,122,1794,198,0,734,0,964,632,294,0,2036,0.300429184549356,5.23605150214592,76.9957081545064,8.49785407725322,0,31.5021459227468,0,41.3733905579399,27.1244635193133,12.618025751073,0,87.381974248927
51,16,3.39481253009216,1360,1940704,6.86,8.99,19.05,7.06,0.06,0.58,0.01,0.55,0.03,25.63,2370.11497573529,795.246323529412,48.1364821814623,247.046681499068,10,70,1138,49,0,1289,0,71,0,1360,0,0,0.735294117647059,5.14705882352941,83.6764705882353,3.60294117647059,0,94.7794117647059,0,5.22058823529412,0,100,0,0
52,14,7.27638126854443,2915,1940700,7.02,5.87,7.19,3.35,0.05,0.62,0.01,0.61,0.03,15.86,3290.22495060034,838.631560891938,48.3993491479524,241.495682326007,11,664,1392,71,484,1257,0,0,1658,2915,0,0,0.377358490566038,22.778730703259,47.7530017152659,2.43567753001715,16.6037735849057,43.1217838765009,0,0,56.8782161234992,100,0,0
53,11,3.04285034866356,1219,1940739,7.4,7.25,4.18,2.49,0.08,0.58,0.01,0.55,0.04,29.33,3004.17170385562,849.547990155865,47.4430239763195,213.818479703374,3,314,445,125,319,388,0,0,831,1178,0,41,0.246103363412633,25.7588187038556,36.5053322395406,10.2543068088597,26.16899097621,31.8293683347006,0,0,68.1706316652994,96.636587366694,0,3.36341263330599
54,50,1.14075685753851,457,1940892,7.98,14.2,52.71,12.92,0.06,1.41,0.02,1.42,0.16,14.02,483.601754923414,618.181619256017,8.83314177786364,247.344916797597,2,0,262,159,0,0,0,457,0,457,0,0,0.437636761487965,0,57.3304157549234,34.7921225382932,0,0,0,100,0,100,0,0
55,49,3.96893523738969,1590,1940895,7.87,13.83,116.4,15.25,0.21,2.01,0.06,2.06,0.42,36.71,577.457259119497,627,6.48932690951414,198.843372333567,55,2,272,1073,0,0,0,1394,196,1590,0,0,3.45911949685535,0.125786163522013,17.1069182389937,67.4842767295597,0,0,0,87.6729559748428,12.3270440251572,100,0,0
56,52,5.62390634580658,2253,1940948,7.52,20.74,69.37,15.69,0.79,7.93,0.16,8.09,0.69,15.07,560.462926320462,597.804260985353,13.5481562577615,95.4966811347875,411,0,1096,347,0,551,0,1702,0,2253,0,0,18.2423435419441,0,48.6462494451842,15.4016866400355,0,24.4562805148691,0,75.5437194851309,0,100,0,0
57,59,8.48453513954799,3399,1940918,7.73,29.97,59.61,15.8,0.25,3.19,0.06,3.26,0.3,8.87,1111.8325210356,797.104442483083,15.0606269616372,246.712987878411,156,0,2379,301,0,229,0,2817,353,1516,0,1883,4.58958517210944,0,69.991173874669,8.85554574874963,0,6.7372756693145,0,82.8773168578994,10.3854074727861,44.6013533392174,0,55.3986466607826
58,66,52.8467471136644,21171,1940908,7.7,17.22,33.46,5.38,0.08,2.64,0.03,2.68,0.09,21.4,2092.44567365736,975.315289783194,34.7243372941083,197.151815357421,534,824,11358,5146,135,6957,738,11597,1879,20424,0,747,2.52231826555193,3.89211657455954,53.6488592886496,24.3068348212177,0.637664730055264,32.860989088848,3.48590052430211,54.7777620329696,8.87534835388031,96.4715884936942,0,3.5284115063058
59,65,13.0250968985437,5218,1940913,7.71,6.88,22.2,6.88,0.09,2.39,0.02,2.42,0.18,9.7,3230.26400306631,1189.78842468379,53.597924713019,213.647639112336,8,537,4046,148,0,4964,74,0,180,5179,0,39,0.153315446531238,10.2912993484094,77.5392870831736,2.8363357608279,0,95.1322345726332,1.41816788041395,0,3.44959754695286,99.2525871981602,0,0.747412801839785
60,63,3.49216377176434,1399,1940916,7.53,10.66,31.76,9.7,0.13,3.64,0.03,3.67,0.07,11.57,2962.58547676912,1004.16082916369,50.8471586922512,226.285052206126,0,32,1190,96,0,1199,0,0,200,1399,0,0,0,2.28734810578985,85.06075768406,6.86204431736955,0,85.7040743388134,0,0,14.2959256611866,100,0,0
61,61,3.56704934228095,1429,1940942,7.57,10.53,41.83,6.64,0.16,1,0.02,1.01,0.11,12.46,593.164117564731,602.948215535339,8.5508791476661,221.181634166556,210,5,632,237,0,123,0,443,863,1429,0,0,14.6955913226032,0.349895031490553,44.2267319804059,16.5850244926522,0,8.6074177746676,0,31.000699790063,60.3918824352694,100,0,0
62,58,43.7032189535716,17508,1940936,7.95,31.85,67.59,16.21,0.15,4.36,0.06,4.43,0.66,12.01,699.531035412383,649.853609778387,11.9899245346276,193.510282865202,3088,20,8271,2694,0,950,1870,7783,6905,17508,0,0,17.6376513593786,0.114233493260224,47.2412611377656,15.3872515421522,0,5.42609092986064,10.6808316198309,44.4539639022161,39.4391135480923,100,0,0
63,60,8.20496234295259,3287,1940940,8.01,36.81,89.43,18.7,0.28,3.64,0.06,3.71,0.29,9.79,589.651161241253,629.93094006693,7.27653890944162,226.602978618199,472,14,2083,243,38,0,0,3090,197,3287,0,0,14.3595984180103,0.425920292059629,63.3708548828719,7.39275935503499,1.15606936416185,0,0,94.0066930331609,5.99330696683906,100,0,0
64,56,2.51365898367896,1007,1940485,8.18,26.78,34.5,18.68,5.57,0.81,0.07,0.89,0.05,37.12,450.125180734856,528.490566037736,20.1112668023775,205.320069309458,67,0,446,352,0,680,0,327,0,1007,0,0,6.65342601787488,0,44.2899702085402,34.9553128103277,0,67.5273088381331,0,32.4726911618669,0,100,0,0
65,57,13.1499061827397,5268,1940244,7.91,23.36,75.23,14.37,0.19,4.12,0.07,4.19,0.23,30.45,449.005095102506,542.408694001519,15.9247516077939,169.681290011348,1592,0,2081,1180,0,1724,0,3544,0,5268,0,0,30.2201974183751,0,39.5026575550494,22.3993925588459,0,32.7258921791951,0,67.2741078208049,0,100,0,0
66,68,3.1876291183294,1277,1940412,7.87,13.74,73.96,19.18,0.16,9.15,0.07,9.22,0.66,8.75,645.245313234142,618.696162881754,20.3893092344928,108.298366840906,394,0,784,47,0,1259,0,18,0,1277,0,0,30.8535630383712,0,61.3938919342208,3.68050117462803,0,98.5904463586531,0,1.40955364134691,0,100,0,0
67,55,66.4734247620291,26630,1940397,7.96,16.72,91.08,21.97,0.21,6.22,0.08,6.31,0.2,12.03,555.836433233196,597.742057829516,7.2149339448669,170.866206007821,8002,27,10109,4511,157,122,168,22284,4056,26630,0,0,30.0488171235449,0.101389410439354,37.9609463011641,16.9395418700713,0.589560645888096,0.458129928651896,0.630867442733759,83.6800600826136,15.2309425460008,100,0,0
68,69,34.0829193278522,13654,1940402,7.68,18.67,73.53,14.03,0.32,10.5,0.13,10.63,0.15,10.81,671.305855134027,662.170353010107,8.22430537715269,224.403530183951,3656,100,7406,1303,0,4592,0,5311,3751,13654,0,0,26.7760363263513,0.732386113959279,54.2405155998242,9.54299106488941,0,33.6311703530101,0,38.8970265123773,27.4718031346126,100,0,0
69,67,67.2122957244582,26926,1940392,7.95,15.66,71.37,16.97,0.2,6.28,0.06,6.34,0.13,9.74,979.792907969992,723.727326747382,14.631574666854,217.490841903769,6476,69,15564,1776,0,13015,286,5828,7797,26926,0,0,24.0511030231003,0.256257892000297,57.8028671172844,6.59585530713808,0,48.3361806432444,1.06217039292877,21.6445071677932,28.9571417960336,100,0,0
70,70,11.2952402196088,4525,1940312,7.89,14.46,60.8,18.22,0.08,6.28,0.05,6.34,0.12,6.9,577.376368176796,619.061657458564,19.1768419523609,148.523307828314,824,0,1632,505,0,3097,0,1428,0,4525,0,0,18.2099447513812,0,36.0662983425414,11.1602209944751,0,68.4419889502762,0,31.5580110497238,0,100,0,0
